name,registration_number,address,registration_date,renewed_on,valid_upto,district,country,remarks,source_name
Concern with Environmental Development and Research (CEDER),1132,"768, Satmasjid Road, Dhanmondi, Dhaka Phone : 9121504, 9145667",1997-02-01,2017-02-01,2027-02-01,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Concerned Women for Family Development.,0072,"House-16 & 18, Road-01, Block-E, Bonosree, Rampura, Dhaka-1219. Phone: 7287046, Fax: 7287019 www.cwfd.org",1981-04-22,2020-05-15,2030-05-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Conservation of Environment & Empowerment of the Poor (SEEP),2610,"327/1 Noyatola Maghbazar, Dhaka. Phone: 01711-707421",2010-11-09,,2015-11-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Consumers Association of Bangladesh,0197,"House-8/6, Segunbagicha, Dhaka. Phone : 9562858, Fax: 9577452 www.consumerbd.org",1986-03-02,2021-03-02,2031-03-02,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Coop Benedict Memorial Society (CBMS),2244,"Vill: Vennabari, Post: Uttar Vennabari, Upazilla+Dist.: Gopalgonj Phone: 01712-909974",2007-06-13,2017-06-13,2027-06-13,Gopalganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
"Co-operative Credit Union League of Bangladesh, The",0247,"Calbe Bhaban, School Road, Khilbarir Tek, Gulshan, Dhaka.",1987-12-28,2004-12-28,2009-12-28,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Council of Monirities (COM),3469,"House-1/7,1stFloor,Block-F,Aziz Moholla, Mohammadpur, Dhaka-1207 Phone: 01727139810 email: khalid.aygusc@gmail.com",2025-06-03,,2035-06-02,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Country Development Organization,3017,"Vill & PO: Banesher Wardi, House-316, Upazila: Nagarkanda, Faridpur Phone: 01720132466",2016-03-07,2021-03-07,2031-03-06,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Country Vision,1577,"House-40, Level-LV-3, Road-6/A, Dhanmondi, Dhaka-1209 Phone: 9144036, 8871601, Cell: 01842-666322, Fax: 8125626 www.countryvision.org",2000-10-18,2025-05-18,2035-05-17,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Cox's Bazar Baitus Sharaf Hospital,1234,"Baitus Sharaf Complex, Baitus Sharaf Road, Cox's Bazar. Phone : 0341-63911",1998-01-22,2018-01-22,2028-01-22,Cox'sBazar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Cox'sbazar Mohila O Shishu Unnyan Sangstha,3555,"Lith House, Cox'sbazar Phone: 01829320747 www,cwcwdi@gmail",2026-01-06,,2036-01-05,Cox'sbazar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Creative Village Development Foundation,3490,"Eye Hospital Road, Goaldi, Post: Aminpur, Sonargaon Pourasova, Sonargaon, Narayanganj Phone: 01711277040",2025-08-17,,2035-08-16,Narayanganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Credit & Development Forum (CDF),0859,"House-5/8, Block-D, Lalmatia, Dhaka-1207. Phone: 8142998, 8143001",1994-10-01,2014-10-01,2019-10-01,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Crescent,2380,"Old Sathkhira, Sathkhira. Phone: 0471-63078",2008-07-22,2018-07-22,2028-07-22,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
CRUD (Committee for Rural & Urban Development),2770,"House-51, Chiriakhana Road, Sastonogor, Habiganj Phone: 01711-171405",2013-03-06,2018-03-06,2028-03-06,Habiganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
CSD Foundation,3525,"House-18 (4th Floor), Road-15, Rupnagar R/A, Mirpur, Dhaka-1216 Phone: 01750700200 email: infocsdfoundation@gmai.com",2025-11-11,,2035-11-10,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
CSD-Cooperation for Social Development,3001,"North Shewta, Dist: Manikganj Phone: 01714899728 Email:csdbd5@gmail.co Web: csdbd.org",2016-02-08,2021-02-08,2031-02-08,Manikganj,Bangladesh,Name Changed on 07/01/2018,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
CSR Center,3396,"House-11, Road-14, Gulshan-1, Dhaka. Phone: 01713009090 email: nizam@csrcenter.bd.org",2023-12-24,,2033-12-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Cultural Movement for Human Development,2303,"House-37, Road-14, Rupnagar R/A, Mirpur, Dhaka-1216",2008-02-05,,2013-02-05,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dabi Moulic Unnayan Sangstha,0325,"Chakrampur, Kanthaltali, Santahar Road, Naogaon-6500 Phone: 0741-62072, 61078 www.dabi,webs.com",1989-11-18,2019-11-18,2029-11-17,Naogaon,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dackhin Anchalio Dariddo Bimochan Sangstha,2400,"College Branch Road, Barguna.",2009-01-13,,2014-01-13,Barguna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daff Bangladesh,2226,"Shibtala, Chapainowabganj. Phone: 01730-110835 www.daff-bangladesh.org",2007-04-25,2017-04-25,2027-04-25,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dak Diya Jai,0484,"House-01, Bipas Road, Nasimpur, Pirojpur Sadar, Pirojpur Phone: 0461-62763 www.ddjbd.org",1991-06-08,2021-06-28,2031-06-27,Pirojpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dalit,1374,"37/1, Kedamatho Road, KUET, Moheswarpasha, Daulatpur, Khulna Phone: 041-775018",1999-04-28,2019-04-28,2029-04-28,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daradi,1847,"Medicare Hospital, Daradi Clinic, G.M. Road, Fultala, Chowrasta, Kustia.",2003-06-28,,2008-06-28,Kustia,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Darial Union Jono Kalyan Sangstha (DUJKS),1052,"Vill. Kamarkhali, Post. Uttampur, Thana Bakergonj, Dist. Barisal. Phone: 01715-596451",1996-08-03,2018-08-03,2028-08-03,Barisal,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridra Bimochan shahyak Karmoshuchi,1777,"Sultan Mension, 3 Sujanagar, Pallabi, Mirpur-2, Dhaka Phone: 807380, 9000572 Fax: 9004571",2002-12-22,2007-12-22,2012-12-22,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridra Bimochon Sagstha,2674,"Fulbagan Road, Mukharjee Para, Meherpur. Phone: 01791-62629",2012-02-09,2022-02-09,2032-02-09,Meherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridra Durikoron Sangstha (DADUS),3116,"43/1, Indera Road, Tejgaon, Dhaka. Mobile:01711595778",2017-11-21,,2027-11-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridra Manabik Unnayan Sangstha,2881,"Nabagram Road, Barisal Phone: 01727-247127",2014-08-19,,2019-08-19,Barisal,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridra Mochan Prochasta,2779,"Angona, Muslimpara, Nabogram Road, Barisal Phone: 01752-519155",2013-04-08,2018-04-08,2028-04-08,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridra Nibaron Kendra,1511,"Vill: Jhikira, PO: Ullapara, UZ: Ullapara, Dist: Sirajganj. Phone: 07529-56170",2000-04-19,2010-04-19,2015-04-19,Sirajganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridra Samaj Unnayan Sangstha,3494,"381/11,Purbasheri,SherpurTown, Sherpur Phone: 01717355207",2025-08-24,,2035-08-23,Sherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Daridraya Nerosan Prochesta (DNP),0530,"Ambikapur, Faridpur",1991-09-04,1996-09-04,2001-09-04,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Darpan Jana Kallyan Samity,1418,"23/2, Sher-E-Bangla Road, Zigatola, Hazaribagh, Dhaka-1209 Phone: 01716-355682",1999-08-31,2019-08-31,2029-08-30,Dhaka,Bangladesh,"Cancelled on 13/04/2010, Revived on 01/01/2013",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Darul Kidmah Wal Falah Bangladesh,1522,"376/3, South Paikpara, Al-amin Road, Mirpur, Dhaka Phone :9012569",2000-05-11,2020-05-21,2030-05-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dascoh Foundation,0934,"Lutheran Mission Complex, Dingadoba, Rajshahi. Phone: 0721-771354",1995-05-17,2020-05-17,2030-05-17,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dayemi Complex Bangladesh,0396,"42/2, Azimpur Choto Daira Sharif, Dhaka-1205 Phone: 01771-575262",1990-10-22,2015-10-22,2020-10-22,Dhaka,Bangladesh,"Cancelled on 13/04/2010, Revived on 18/10/2015",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dayemi Foundation,3014,"42/2, Azimpur Road, Chotto Dayera Sharif, Dhaka Phone: 9663086",2016-02-29,2021-02-28,2031-02-28,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Debi Chowdhurani Palli Unnayan Kendra,1062,"Post. Chowdhurany, UZ: Pirgacha, Dist. Rangpur Phone: 01714-966608",1996-08-24,2021-08-24,2031-08-23,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Debidwar Faizunnesa Foundation,2918,"Vill: Bakser, PO: Unjuti, PS: Debidwar, Dist: Comilla. Phne: 01819-130146",2015-02-02,2020-02-02,2030-02-02,Comilla,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dedate for Democracy,3533,"House-84, Road-17/A, Block-E, Banani, Dhaka-1213 Phone: 01618187085 email: dedatefordemocracybd@gmail.com",2025-11-30,,2035-11-29,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Deep Eye Care Foundation,2423,"Dorsona, Akkelpur, Rangpur. Phone: 0521-61337",2009-03-30,2019-03-30,2029-03-30,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Deep Swastho Shikkha Kalyan Foundation,2299,"Jowdanga, Satkhira. Phone: 01712-099801",2008-01-02,2018-01-02,2028-01-02,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Deepti Bhuban,1105,"19/B/4D, Ring Road (4th Floor), Mohammadpur, Dhaka-1207 Phone: 01712-114861",1996-11-30,2021-11-30,2031-11-29,Dinajpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
DEESHA,0463,"House-D/3, Sector-7, New Town, Jessore Phone: 02477763797 Mobile: 01712699080 email: deesha_jsr@yahoo.com",1993-01-23,2018-01-23,2028-01-23,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dehergati Matri Mangal Samaj Seba Samity,1808,"w73w, wB.adreoebsahgah.c, oMmir.pbudr-2, Dhaka Phone : 8124375",2003-03-22,2008-03-22,2013-03-22,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Democracy Watch,1174,"15 Eskaton Garden Road, Ramna, Dhaka-100 Phone: 9344225, 9344226 Fax: 88029330405 www.dwatch.bd.org",1997-07-24,2017-07-24,2027-07-24,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Desh Bangla Development Association for Women,3064,"College Branch Road, Barguna, Barguna Phone: 01736366036",2016-12-14,2021-12-14,2031-12-13,Barguna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Desh Bangla foundation,3348,"House-141, Nutan College Mour, Bishawa Road, Jhalakathi. Phone: 01711055422 email: mizan_dbf@yahoo.com",2023-03-23,,2033-03-22,Jhalokathi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Desh Bangla kallyan Parishad,1430,"House-437 (2nd Floor), Block-C, Khilgaon Chowrasta, Dhaka-1219 Phone: 7252303-4, Fax: 7210485",1999-09-22,2014-09-22,2019-09-22,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Desh Chetona,2894,"234 Sher E Bangla Road, Jhenaidah",2014-09-30,2019-09-30,2029-09-29,Jhenaidah,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Desh Foundation,3568,"Vill:+Post:Jamdia(Charavita),UZ: Bagharpara, Dist: Jessore Phone: 01718152538 email: deshfoundationjess@gmail.com",2026-01-27,,2036-01-26,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Desh Seba Sangstha,1109,"Vill. & P.O. Amlabo, Belabo, Narsingdhi. Phone: 01677-104409",1996-12-12,2021-11-12,2031-12-11,Narsingdhi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Deshbangla Human Development Organization,3189,"Village: Dakkhin Chandshi, Gournadi, Dist: Barisal, Mob: 01784600440",2019-02-17,,2024-02-17,Barisal,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Deshgram Manab Sampad & Paribash Unnayan Sangstha,2633,"College Gate, Main Road, New Town, Madaripur-7900 Phone: 01713-464577, 62300",2011-03-28,2021-03-28,2031-03-27,Madaripur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Destitute Child and Human Development Organisation (DCHDO),0889,"PO: Nangurahat, Thana: Monirampur, Jessore Phone : 01730-196876",1995-01-15,2020-01-15,2030-01-14,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Develop Humanitarionism for the Under Privilized Foundation (DHUP Foundation),2899,"House-607, Road-10, Baitul Aman Housing Society, Adabor, Shamoly, Dhaka Phone: 01819-211534",2014-10-20,2019-10-20,2029-10-19,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Activities of Society-DAS,2518,"DC Office Road, Jhenaidah. Phone: 0451-61429",2009-11-26,2019-11-26,2029-11-26,Jhenaidah,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development and Welfare for the Needy,1958,"Ka-131/1, Kuril (Juma Vila), Thana-Badda, Dist. Dhaka-1219. Phone: 01552-407860",2004-09-11,2009-09-11,2014-09-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Association for Rural People (DARP),2161,"Vill+Post: Begun Jowar, Upazilla: Badalgachi, Dist.: Nogaon",2006-11-16,2011-11-16,2021-11-16,Naogaon,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Association for Youth,0608,"16/1, Horicharan Roy Road, Faridabad Dhaka Phone: 7448943, Fax: 9358651",1992-03-18,2017-03-18,2027-03-17,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Centre International (DCI),0282,"House-695 (Gr. Fl.), Road-11, Baitul Aman Housing Society., Adabor, Shyamali, Dhaka. Phone : 9117166, Fax: 8115386",1988-12-21,2018-12-21,2028-12-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Equality & Emancipation for Disadvantaged Peoples in Bangladesh,2350,"Ati Villa, House-320/6-A, West Pirerbagh, Shimultola, Mirpur, Dhaka Phone: 01720-021410",2008-05-11,2013-05-11,2018-05-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development for Disadvantaged People (DDP),2936,"Vill & PO: Banbaria, Sirajganj Phone: 01553-339800",2015-05-28,2020-05-28,2030-05-27,Sirajganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development for Society,1823,"707, Bara Moghbazar, Santinagar, Dhaka-1217",2003-04-30,2013-04-30,2018-04-30,Comilla,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development for the Poor,0316,"1/A/1, North Adabor (2nd Floor), Shyamoli, Dhaka-1207. Phone: 8122114 www.interconnection.org/developm ent",1989-09-09,2014-09-09,2024-09-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development For Unemployment of Poor people and Environment (DUPPE),1809,"39 Chamelybag, Shantinagar, Dhaka-1217. Phone: 9361079 E-mail: gibs@bd corp.com",2003-03-24,2008-03-24,2013-03-24,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Idea Sharing Agency (DISA),1506,"Vill: Chotodheep, Upazila: Atwari, Dist: Panchagar. Phone: 01715-412359",2000-04-19,2010-04-19,2015-04-19,Panchagar,Bangladesh,"Cancelled on 12/04/2010, Revived on 09/11/2010",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Initiative for Human Advancement(DIHA),3416,"Doulatpur, Adarsga Sadar,Comilla Phone: 01816474536 email: dihaorg008@gmail.com",2024-08-01,,2034-07-31,Comilla,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Initiative for Social Advancement (DISA),1024,"E/11, Pallabi Extention, Mirpur-11 1/2, Dhaka-1216. Phone: 8023629, Fax: 9021858 www.disabd.org",1996-04-02,2021-04-02,2031-04-02,Comilla,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Institute for Social and Human Affairs,2323,"Flat-A1, Road-6, House-6, Block-E, Section-2, Mirpur, Dhaka Phone: 8053470",2008-03-24,2018-03-24,2028-03-24,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development of Biotechnology and Environmental Conservation Centre (DEVTEC),1655,"House-190, Road-11/A, Dhanmondi, Dhaka.",2001-08-09,2021-08-09,2031-08-08,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development of Educational Service for Human (DESH),2782,"48, R.K. Mission Road, Dhaka Phone: 01715-934554",2013-04-15,2018-04-15,2028-04-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development of Health and Agriculture Rehabilitation Advancement (DHARA),2216,"68, City College Para, Jessore. Phone: 0421-69064",2007-04-03,2017-04-03,2027-04-03,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development of Mohila Society (DMS),2282,"Gilatala (Fakir Road), Jahanbad Cant., Khnjahan Ali, Khulna-6205 Phone: 01712-151785",2007-10-24,2017-10-24,2027-10-24,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Organisation of the Rural Poor (DORP),0682,"36/2 East Sheowrapara, Mirpur, Dhaka. Phone: 8034785, 01716-369918 Fax: 8034786 www.dorpbd.org",1993-02-02,2018-02-02,2028-02-02,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development organization for Human Potential Sustainability (DOHPS),3438,"Ghurjan, Chaitajani, Sreebordi, Sherpur. Phone: 01728097967 email: dohps2008@gmail.com",2025-04-16,,2035-04-15,Sherpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Partner (DP),0979,"P.O. Monirampur, Dist. Jessore Phone: 01726160460 www.info@dpbd.org",1995-10-19,2020-10-19,2030-10-19,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Society,0464,"Alta Plaza (3rd Floor), House-01, Road-10, Dhanmondi, Dhaka-12-5 Phone: 8122114",1991-04-28,2026-04-28,2036-04-27,Narsingdhi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Development Wheel (DEW),1752,"13-A/4-A (2nd Floor), Block-B, Babor Road, Mohammadpur, Dhaka. Phone: 9137196, 9135499 Fax: 8115579",2002-10-27,2017-10-27,2027-10-27,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
"Development, Research, Education and Management, Bangladesh.",2133,"15/5, Block-C (1st Floor), Tajmahal, Mohammadpur, Dhaka-1207 Phone: 01552-337428",2006-09-17,2016-09-17,2021-09-17,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dewan Iqbal Foundation,1417,"Dewan Villa, 119, Kazi Jalal Uddin Road, Kazitula, Sylhet. Phone: 01716-003045, 01670-702036",1999-08-29,2019-08-29,2029-08-28,Sylhet,Bangladesh,"Cancelled on 06/05/2010, Revived on 01/12/2014",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Ahsania Mission,0246,"House # 19, Road # 12 (New), Dhanmondi R/A., Dhaka Phone : 8119521, 9123420 Fax: 8113010, 8118522 www.ahsaniamission.org",1987-12-09,2017-12-09,2027-12-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Ashania Mohila Mission,0300,"3, Dhanmondi R/A, Road-08, Dhaka-1205",1989-05-18,2014-05-18,2024-05-18,Dhaka,Bangladesh,Cacelled on 11-06-2014 Revived on 03-06-2018,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Community Hospital Trust,3234,"190/1, Bara Maghbazar, Wireless Railgate, Dhaka, Tel:9351190-18314887",2020-02-17,,2030-02-17,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Institute of Cultural Affairs,2488,"83/B, New Circular Road, Mouchak Tower (4th floor), Room-506, Dhaka-1217 Phone: 9332023, Fax: 8322799",2009-10-06,2014-10-06,2019-10-06,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Orphange Society (Hindu),3421,"59 Forajganj Road, Dhaka Phone: 01819426382",2024-09-01,,2034-08-31,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Palli Sheba Sangstha,2940,"Sholla Bazar, Sholla, Nawbganj, Dhaka Phone: 01819-442087",2015-07-16,2020-07-16,2030-07-15,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Progressive Lions Eye Hospital,1691,"137/2, Basail, Narsingdhi Phone: 0628-63869",2001-10-31,2016-10-31,2026-10-31,Narsingdhi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhaka Rural Advancement Programs Society,2257,"Matuail West Para, Zia Sarani Road, Jatrabari, Demra, Dhaka.",2007-08-05,,2012-08-05,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
"Dharmarajika Orphanage, Buddhist Monastery",0075,"Atish Dipankar Sarak, PO: Basabo, PS: Sabujbag, Dhaka-1214 Phone: 7275665",1981-04-22,2016-05-15,2026-05-14,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhoritri Foundation for Information Education,2267,"House-50, Road-08, Block-D, Niketon, Gulshan, Dhaka. Phone: 8853958, 8853960 www.dhoritrifoundation.org",2007-08-29,2012-08-29,2017-08-29,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhruba,2738,"2 Navy Gate, Khalishpur, Khulna. Phone: 01711-579722",2012-10-23,2017-10-23,2027-10-23,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhrubo Society,1732,"Vill: Noymile, PO: RDA, Upazila: Shajahanpur, Dist: Bogra Phone: 01930407765",2002-08-18,2022-08-18,2032-08-18,Bogra,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Dhrubotara Youth Development Foundation,3433,"Suit-109, 107, RH Home Centre, Green Road, Dhaka Phone: 01671683455 email: dydfbd@gmail.com",2025-02-26,,2035-02-26,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Diabetic Association of Bangladesh,1284,"122, Kazi Nazrul Islam Avenue, Shahbag, Dhaka. Phone: 8616641-50, Fax: 967772 www.dab-bd.org",1998-09-01,2018-09-01,2028-09-01,Dhaka,Bangladesh,"Cancelled on 25/10/2010, Revived on 08/02/2011",Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
"Diabetic Samity, Lalmonirhat",2628,"Sonali Park Jail Road, Lalmonirhat. Phone: 01715-359827",2011-03-20,,2016-03-20,Lalmonirhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Diganta Karma Sangstha,2467,"Vill: Basudevpur, PO: Basudevpur, PS: Godagari, Dist: Rajshahi Phone: 01711414888 email: diganta2300@gmail.com www.dks-bd.org",2009-07-09,2024-07-09,2034-07-08,Rajshahi,Bangladesh,Name Changed on 28/12/2020,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Diganta Mohila Sangstha,0712,"Plot-23, Road-01, East Site, Block-B, Uttara Residential Area, Coxsbazar Phone: 01865348296 email: infodmsorg@gmail.com",1993-06-06,2018-06-06,2028-06-06,Cox'sBazar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Diganta Samaj Kalyan Samity,1995,"Shathia, Post+Upazila: Shathia, Dist.: Pabna Phone: 07327-56234",2005-01-11,2020-01-11,2030-01-11,Pabna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Digirpar Bastuhara Samaj Kallyan Samity,1733,"Public Library Road, P.O+Upazila: Monirampur, Jessore Phone : 01712-984709, 01819-697153",2002-08-27,2012-08-27,2017-08-27,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
